name,ts,r95,eflux100,glat,glon,nbb,delta,variability,pindex,curvature,singlat,category,uwname
4FGL J0000.3-7355,71.9177,0.0473069,9.87337e-13,-42.7358,307.731,1,0.0175685,12.835,2.08396,0.217188,-0.678619,unid,J0000.1-7354
4FGL J0000.5+0743,41.813,0.142617,1.05916e-12,-52.9686,101.711,1,0.0692052,25.569,1,0.389761,-0.798306,unid,J0000.5+0747
4FGL J0000.7+2530,38.2996,0.0568373,8.45641e-13,-36.3468,108.239,2,0.580895,13.1493,1.98903,0.134538,-0.592671,unid,J2359.3+2502
4FGL J0001.2+4741,44.4472,0.0509612,1.29667e-12,-14.3321,114.269,4,0.0187051,28.9156,2.11425,0.0598401,-0.247542,bcu,J0001.3+4741
4FGL J0001.2-0747,702.004,0.0231917,6.96715e-12,-67.3049,89.0307,2,0.0007963,51.7424,2.07595,0.0301663,-0.922571,bll,J0001.2-0747
4FGL J0001.4-0010,36.6456,0.0630379,9.91633e-13,-60.4807,96.9012,9,0.0115507,9.37419,1.99659,0.0804972,-0.87019,bll,J0001.4-0009
4FGL J0001.5+2113,3947.42,0.028636,2.24714e-11,-40.1563,107.673,43,0.0214209,1861.6,2.63434,0.148432,-0.644875,fsrq,J0001.5+2114
4FGL J0001.6+3503,69.9263,0.0774761,1.40456e-12,-26.7241,111.541,1,0.0139734,11.1987,1.06447,0.363395,-0.449694,unid,J0001.6+3502
4FGL J0001.6-4156,310.058,0.0300209,3.22113e-12,-72.0194,334.311,1,0.0276841,25.6095,1.63477,0.128693,-0.951161,bcu,J0001.5-4156
4FGL J0001.8-2153,375.909,0.0255594,4.49928e-12,-76.4999,58.0759,2,1.25316,26.9101,2.02985,-0.0321675,-0.97237,bcu,J2359.1-2047
4FGL J0002.1-6728,244.528,0.0259246,2.2563e-12,-48.9756,310.069,2,0.0162138,10.3706,1.72731,0.150332,-0.754431,bll,J0002.2-6727
4FGL J0002.1+6721,100.1,0.108159,5.09982e-12,4.9023,118.239,7,0.0514505,7.72054,2.63827,0.370062,0.085457,other,J0002.6+6719
4FGL J0002.3-0815,40.261,0.0597534,1.2558e-12,-67.8374,89.0557,1,0.011853,13.4271,2.17418,0.0175118,-0.926117,bcu,J0002.3-0815
4FGL J0002.4-5156,29.9102,0.0909587,6.19682e-13,-63.5262,319.945,1,0.0274658,19.8048,1.62834,0.440765,-0.895138,bcu,J0002.5-5157
4FGL J0002.7+7220,34.8809,0.0812987,1.01225e-12,9.78171,119.201,2,0.0482181,15.7523,2.13829,0.700842,0.169895,other,J0002.7+7217
4FGL J0002.8+6217,1400.08,0.0286839,1.61844e-11,-0.0537843,117.325,2,0.0052265,15.3805,1.04464,0.432996,-0.000938713,psr,J0002.9+6217
4FGL J0003.1-5248,347.679,0.0227944,3.24977e-12,-62.7947,318.957,4,0.0161346,12.5768,1.70382,0.0739373,-0.889374,bcu,J0003.2-5248
4FGL J0003.1-1543,31.7466,0.0862136,5.55286e-13,-74.0243,75.9879,1,1.76883e-05,13.4875,1.64338,0.643799,-0.961378,bcu,J0003.1-1543
4FGL J0003.2+2207,53.9224,0.0886714,8.7982e-13,-39.4281,108.547,2,0.0961703,13.4827,1.94196,0.667187,-0.63511,bll,J0003.6+2206
4FGL J0003.3+2511,118.723,0.0773514,2.36966e-12,-36.4794,109.33,3,0.079692,23.7739,2.34766,0.156343,-0.594534,unid,J0003.2+2506
4FGL J0003.3-1928,252.088,0.0499808,2.21993e-12,-76.5843,65.1248,5,0.0172574,58.5479,2.01853,0.385073,-0.972712,bcu,J0003.3-1928
4FGL J0003.3-5905,42.4089,0.071423,6.47799e-13,-56.9598,314.215,3,0.0144765,11.4754,1.14504,0.257907,-0.838288,bcu,J0003.4-5906
4FGL J0003.5+0717,50.6151,0.0857723,1.74411e-12,-53.6641,102.593,1,0.0096808,12.027,2.41774,0.0760794,-0.805558,bcu,J0003.5+0718
4FGL J0003.6+3059,189.403,0.0536645,1.62286e-12,-30.7894,111.025,1,0.0245211,7.74038,2.06722,1.00011,-0.511884,unid,J0003.7+3058
4FGL J0003.9-1149,174.742,0.0411411,2.36971e-12,-71.0649,84.6207,1,0.0130538,7.86733,2.15052,0.126681,-0.945887,bll,J0003.9-1148
4FGL J0004.0+5715,131.898,0.0487635,4.98381e-12,-5.06665,116.515,1,0.0451643,13.5924,2.53338,0.10981,-0.0883145,unid,J0003.9+5712
4FGL J0004.0+0840,46.79,0.0682363,9.20269e-13,-52.3568,103.493,5,0.0410446,19.4981,1.9648,0.314306,-0.79183,bll,J0003.9+0842
4FGL J0004.3+4614,390.463,0.0486932,6.88376e-12,-15.8509,114.49,5,0.00420644,148.108,2.57859,0.0274168,-0.273135,fsrq,J0004.3+4614
4FGL J0004.4-4737,475.208,0.0373364,4.31262e-12,-67.5484,323.991,10,0.0106904,189.314,2.26614,0.112787,-0.924202,fsrq,J0004.4-4736
4FGL J0004.4-4001,174.74,0.0543029,3.51111e-12,-73.8355,336.98,6,0.0102841,38.8139,2.67223,-0.0985871,-0.960466,unid,J0004.4-4002
4FGL J0005.5+6634,44.5544,0.164596,4.09162e-12,4.11043,118.389,2,1.57273e-05,6.91326,1.66964,0.404984,0.071679,unid,J0005.5+6634
4FGL J0005.6+6746,31.6464,0.109515,1.82993e-12,5.2074,118.63,7,0.0778761,9.13717,2.4672,0.431142,0.0907612,unid,J0006.0+6741
